Year,System Code,System,School Code,School,Grade,Gender,Ethnicity,Sub Population,Total Student Count,Asian,Asian %,Black or African American,Black or African American %,American Indian / Alaska Native, American Indian / Alaska Native %,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander %,White,White %,Two or more races,Two or more races %
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,All SubPopulation,718716,11294,~,229512,31.93,30295,~,1911,~,407758,56.73,37946,5.28
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,Students with Limited English Proficiency,47838,2971,6.21,1016,~,15987,33.42,874,~,21321,44.57,5669,11.85
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,Homeless,12844,87,~,6265,48.78,897,6.98,56,~,4410,34.34,1129,8.79
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,Migrant,1277,*,*,29,~,644,50.43,21,~,374,29.29,201,15.74
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,Students with Disabilities,129379,980,~,44144,34.12,3423,~,219,~,74548,57.62,6065,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,General Education Students,589337,10314,~,185368,31.45,26872,~,1692,~,333210,56.54,31881,5.41
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,Economically Disadvantaged,465245,4500,~,195027,41.92,24421,5.25,1419,~,212087,45.59,27791,5.97
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,Foster,3282,*,*,1011,30.80,33,~,*,*,1947,59.32,281,8.56
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,Military Family,15675,244,~,4352,27.76,309,~,71,~,9487,60.52,1212,7.73
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,All Ethnicity,Non-Economically Disadvantaged,253471,6794,~,34485,13.61,5874,~,492,~,195671,77.20,10155,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,All SubPopulation,84661,442,~,3132,~,24394,28.81,1111,~,44732,52.84,10850,12.82
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,Students with Limited English Proficiency,42047,158,~,301,~,15755,37.47,728,~,19839,47.18,5266,12.52
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,Homeless,2100,14,~,84,~,796,37.90,32,~,723,34.43,451,21.48
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,Migrant,1000,*,*,*,*,519,51.90,*,*,286,28.60,181,18.10
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,All Grades,All Gender,Hispanic/Latino,Students with Disabilities,10716,46,~,495,~,2455,22.91,113,~,6322,59.00,1285,11.99
