State,Source Link
Alabama,https://reportcard.alsde.edu/OverallScorePage.aspx?ReportYear=2021&SystemCode=000&SchoolCode=0000
Alaska,https://education.alaska.gov/data-center
Arizona,https://azreportcards.azed.gov/state-reports
Arkansas,https://adedata.arkansas.gov/statewide/ReportList/Schools/EnrollmentByGrade.aspx?year=33&search=&pagesize=10
California,https://dq.cde.ca.gov/dataquest/dqcensus/EnrCharterYears.aspx?cds=00&agglevel=state&year=2021-22
Colorado,https://www.cde.state.co.us/communications/colorado-education-facts-and-figures
Connecticut,https://edsight.ct.gov/SASStoredProcess/guest?_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FConnecticutReportCard&_district=State%20of%20Connecticut&_select=Submit
Delaware,https://reportcard.doe.k12.de.us/detail.html#aboutpage?scope=state&district=0&school=0
District of Columbia,https://dcps.dc.gov/page/dcps-glance-enrollment
Idaho,https://idahoschools.org/state/ID
Illinois,https://www.illinoisreportcard.com/State.aspx?source=studentcharacteristics&source2=enrollment&Stateid=IL
Indiana,https://www.in.gov/doe/it/data-center-and-reports/?utm_content=&utm_medium=email&utm_name=&utm_source=govdelivery&utm_term=
Iowa,https://educateiowa.gov/data-reporting/data-reporting-pk-12/certified-enrollment/public-school-district-certified-enrollment
Maine,https://www.maine.gov/doe/dashboard
Maryland,https://reportcard.msde.maryland.gov/Graphs/#/Demographics/Enrollment/3/17/6/99/XXXX/2022
Massachusetts,https://profiles.doe.mass.edu/general/generalstate.aspx?topNavID=1&leftNavId=100&orgcode=00000000&orgtypecode=0
Michigan,https://www.mischooldata.org/student-enrollment-counts-report/
Minnesota,https://public.education.mn.gov/MDEAnalytics/DataTopic.jsp?TOPICID=2
Missouri,https://apps.dese.mo.gov/MCDS/Visualizations.aspx?id=28
Nevada,http://nevadareportcard.nv.gov/DI/nv/2022
New Jersey,https://www.nj.gov/education/doedata/enr/
New Mexico,https://webnew.ped.state.nm.us/bureaus/information-technology/stars/
North Carolina,http://apps.schools.nc.gov/ords/f?p=145:11:::NO
North Dakota,https://insights.nd.gov/Education/State/Enrollment
Ohio,https://reports.education.ohio.gov/report/report-card-data-state-enrollment-by-student-demographic
Oklahoma,https://sde.ok.gov/documents/state-student-public-enrollment
Oregon,https://www.oregon.gov/ode/reports-and-data/students/Pages/Student-Enrollment-Reports.aspx
Pennsylvania,https://www.education.pa.gov/DataAndReporting/Enrollment/Pages/PublicSchEnrReports.aspx
Rhode Island,https://www.eride.ri.gov/reports/reports.asp
South Carolina,https://ed.sc.gov/data/other/student-counts/active-student-headcounts/
Tennessee,https://tdepublicschools.ondemand.sas.com/state
Texas,https://tea.texas.gov/reports-and-data/school-performance/accountability-research/enroll-2022-23.pdf
Vermont,https://app.powerbigov.us/view?r=eyJrIjoiMzA2YWMyNjctODI0MS00YTEwLTllODctZGQ1YTE0Yjc5ZWY0IiwidCI6IjIwYjQ5MzNiLWJhYWQtNDMzYy05YzAyLTcwZWRjYzc1NTljNiJ9
Virginia,https://www.doe.virginia.gov/state-board-data-funding/data-reports/statistics-reports/enrollment-demographics/fall-membership-data
West Virginia,https://zoomwv.k12.wv.us/Dashboard/dashboard/2056
Wyoming,https://reporting.edu.wyo.gov/ibi_apps/run.bip?BIP_REQUEST_TYPE=BIP_RUN&BIP_folder=IBFS%253A%252FWFC%252FRepository%252FPublic%252FStat2%252F&BIP_item=FallEnrollmentSummaryByGrade.htm
