,School Year,full code,Division Number,Division Name,School Number,School Name,Subject,Pass Rate
0,2024-2025,1-701,1,Accomack County ,701,Accawmacke Elementary,English:Reading,58.29
1,2024-2025,1-701,1,Accomack County ,701,Accawmacke Elementary,History and Social Science,83.12
2,2024-2025,1-701,1,Accomack County ,701,Accawmacke Elementary,Mathematics,58.45
3,2024-2025,1-701,1,Accomack County ,701,Accawmacke Elementary,Science,61.54
4,2024-2025,1-540,1,Accomack County ,540,Arcadia High,English:Reading,84.07
5,2024-2025,1-540,1,Accomack County ,540,Arcadia High,English:Writing,61.88
6,2024-2025,1-540,1,Accomack County ,540,Arcadia High,History and Social Science,56.09
7,2024-2025,1-540,1,Accomack County ,540,Arcadia High,Mathematics,83.06
8,2024-2025,1-540,1,Accomack County ,540,Arcadia High,Science,67.14
9,2024-2025,1-704,1,Accomack County ,704,Arcadia Middle ,English:Reading,62.53
10,2024-2025,1-704,1,Accomack County ,704,Arcadia Middle ,History and Social Science,74.05
11,2024-2025,1-704,1,Accomack County ,704,Arcadia Middle ,Mathematics,61.4
12,2024-2025,1-704,1,Accomack County ,704,Arcadia Middle ,Science,47.1
13,2024-2025,1-80,1,Accomack County ,80,Chincoteague Elementary,English:Reading,64.29
14,2024-2025,1-80,1,Accomack County ,80,Chincoteague Elementary,History and Social Science,55.56
15,2024-2025,1-80,1,Accomack County ,80,Chincoteague Elementary,Mathematics,66.07
16,2024-2025,1-80,1,Accomack County ,80,Chincoteague Elementary,Science,71.05
17,2024-2025,1-580,1,Accomack County ,580,Chincoteague High,English:Reading,80.85
18,2024-2025,1-580,1,Accomack County ,580,Chincoteague High,English:Writing,86.21
19,2024-2025,1-580,1,Accomack County ,580,Chincoteague High,History and Social Science,70.79
20,2024-2025,1-580,1,Accomack County ,580,Chincoteague High,Mathematics,82.43
21,2024-2025,1-580,1,Accomack County ,580,Chincoteague High,Science,85.71
22,2024-2025,1-600,1,Accomack County ,600,Kegotank Elementary,English:Reading,51.44
23,2024-2025,1-600,1,Accomack County ,600,Kegotank Elementary,History and Social Science,40
24,2024-2025,1-600,1,Accomack County ,600,Kegotank Elementary,Mathematics,41.39
25,2024-2025,1-600,1,Accomack County ,600,Kegotank Elementary,Science,33.77
26,2024-2025,1-702,1,Accomack County ,702,Metompkin Elementary,English:Reading,53.16
27,2024-2025,1-702,1,Accomack County ,702,Metompkin Elementary,History and Social Science,56.36
28,2024-2025,1-702,1,Accomack County ,702,Metompkin Elementary,Mathematics,59.9
29,2024-2025,1-702,1,Accomack County ,702,Metompkin Elementary,Science,52.83
30,2024-2025,1-70,1,Accomack County ,70,Nandua High,English:Reading,86.86
31,2024-2025,1-70,1,Accomack County ,70,Nandua High,English:Writing,68.89
32,2024-2025,1-70,1,Accomack County ,70,Nandua High,History and Social Science,44.31
